timestamp,container,cpu,mem,mem_percent,net_io,block_io,pids
2026-01-06T22:45:40,novamart-localstack-lambda-novamart-inventory-handler-cd29e7cf2e2e5ef9ad3b40837db77c41,0.02%,37.12MiB / 11.32GiB,0.32%,9.66kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:40,novamart-localstack-lambda-novamart-inventory-handler-4b52a25ea4a3e717ad4e99961ff31164,0.02%,36.82MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:40,novamart-localstack-lambda-novamart-inventory-handler-edf4db05cfaeb51fac6c39e26fc13f5a,0.01%,36.06MiB / 11.32GiB,0.31%,11.2kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:40,novamart-localstack-lambda-novamart-inventory-handler-5f03faccf3ab85498585863355ed7ae0,0.02%,36.65MiB / 11.32GiB,0.32%,10.3kB / 17.3kB,0B / 12.3kB,27
2026-01-06T22:45:40,novamart-localstack,0.03%,1.707GiB / 11.32GiB,15.08%,3.91MB / 2.64MB,8.95MB / 7.22GB,1059
2026-01-06T22:45:40,novamart-inventory-dynamodb,29.54%,324.6MiB / 11.32GiB,2.80%,25MB / 7.39MB,0B / 5.58MB,53
2026-01-06T22:45:40,novamart-localstack-lambda-novamart-inventory-handler-200acf734ffa22fd85785e74529d7a81,0.01%,14.11MiB / 11.32GiB,0.12%,19kB / 22kB,0B / 12.3kB,17
2026-01-06T22:45:43,novamart-inventory-service,29.20%,72.1MiB / 11.32GiB,0.62%,12.1MB / 28.5MB,0B / 4.1kB,22
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-d680ff31c9f282a9a4a60b67cd288135,0.02%,35.62MiB / 11.32GiB,0.31%,11.1kB / 17.4kB,0B / 12.3kB,28
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-af3ece34afdc6f78386064123366d258,0.03%,35.05MiB / 11.32GiB,0.30%,9.94kB / 17.2kB,0B / 8.19kB,25
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-7628f368b9c53e496ab20cf6d732fb0d,0.01%,36.51MiB / 11.32GiB,0.31%,9.98kB / 17.3kB,0B / 8.19kB,24
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-471814cdd3b52fb4b83f70b8ff9caa74,0.02%,36.13MiB / 11.32GiB,0.31%,11.4kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-7b1d04499dbffc95d2de821185c9c987,0.01%,37.05MiB / 11.32GiB,0.32%,9.83kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-441f5e77697f54f3479cc4504fa503ae,0.01%,37.16MiB / 11.32GiB,0.32%,11.2kB / 17.4kB,0B / 8.19kB,27
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-e1208ecc439f3b423d72860681aa4f20,0.02%,36.4MiB / 11.32GiB,0.31%,10.1kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-94582f3c5c2a4ae035b3dd2c556bfa97,0.02%,36.63MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-2549e8fead1b904b78c59a2008753f6f,0.02%,35.98MiB / 11.32GiB,0.31%,11.8kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-140d8423947107052a51c4879661b553,0.02%,35.52MiB / 11.32GiB,0.31%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-cd29e7cf2e2e5ef9ad3b40837db77c41,0.02%,37.12MiB / 11.32GiB,0.32%,9.66kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-4b52a25ea4a3e717ad4e99961ff31164,0.01%,36.82MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-edf4db05cfaeb51fac6c39e26fc13f5a,0.02%,36.06MiB / 11.32GiB,0.31%,11.2kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-5f03faccf3ab85498585863355ed7ae0,0.01%,36.65MiB / 11.32GiB,0.32%,10.3kB / 17.3kB,0B / 12.3kB,27
2026-01-06T22:45:43,novamart-localstack,26.69%,1.707GiB / 11.32GiB,15.08%,3.91MB / 2.64MB,8.95MB / 7.22GB,1059
2026-01-06T22:45:43,novamart-inventory-dynamodb,24.31%,324.9MiB / 11.32GiB,2.80%,26.4MB / 7.78MB,0B / 5.58MB,53
2026-01-06T22:45:43,novamart-localstack-lambda-novamart-inventory-handler-200acf734ffa22fd85785e74529d7a81,0.01%,14.11MiB / 11.32GiB,0.12%,19kB / 22kB,0B / 12.3kB,17
2026-01-06T22:45:46,novamart-inventory-service,56.53%,72.56MiB / 11.32GiB,0.63%,13.3MB / 31.3MB,0B / 4.1kB,22
2026-01-06T22:45:46,novamart-localstack-lambda-novamart-inventory-handler-d680ff31c9f282a9a4a60b67cd288135,0.02%,35.62MiB / 11.32GiB,0.31%,11.1kB / 17.4kB,0B / 12.3kB,28
2026-01-06T22:45:46,novamart-localstack-lambda-novamart-inventory-handler-af3ece34afdc6f78386064123366d258,0.01%,35.05MiB / 11.32GiB,0.30%,9.94kB / 17.2kB,0B / 8.19kB,25
2026-01-06T22:45:46,novamart-localstack-lambda-novamart-inventory-handler-7628f368b9c53e496ab20cf6d732fb0d,0.02%,36.51MiB / 11.32GiB,0.31%,9.98kB / 17.3kB,0B / 8.19kB,24
2026-01-06T22:45:46,novamart-localstack-lambda-novamart-inventory-handler-471814cdd3b52fb4b83f70b8ff9caa74,0.02%,36.13MiB / 11.32GiB,0.31%,11.4kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:46,novamart-localstack-lambda-novamart-inventory-handler-7b1d04499dbffc95d2de821185c9c987,0.03%,37.06MiB / 11.32GiB,0.32%,9.83kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:46,novamart-localstack-lambda-novamart-inventory-handler-441f5e77697f54f3479cc4504fa503ae,0.01%,37.16MiB / 11.32GiB,0.32%,11.2kB / 17.4kB,0B / 8.19kB,27
2026-01-06T22:45:46,novamart-localstack-lambda-novamart-inventory-handler-e1208ecc439f3b423d72860681aa4f20,0.02%,36.4MiB / 11.32GiB,0.31%,10.1kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:46,novamart-localstack-lambda-novamart-inventory-handler-94582f3c5c2a4ae035b3dd2c556bfa97,0.02%,36.63MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
